Grid Size, Thread Count, Total Time, Sequential Time, Parallel Time
50, 1, 5.743927, 5.196116, 0.547811
50, 2, 5.492836, 5.222248, 0.270588
50, 3, 5.493586, 5.268035, 0.225552
50, 4, 5.450091, 5.271054, 0.179037
50, 5, 5.336715, 5.196044, 0.140671
50, 6, 5.363519, 5.221280, 0.142239
50, 7, 5.432840, 5.251717, 0.181123
50, 8, 5.406603, 5.234462, 0.172141
50, 9, 5.467951, 5.271646, 0.196304
50, 10, 5.373869, 5.232233, 0.141636
50, 11, 5.388399, 5.245267, 0.143133
50, 12, 5.390734, 5.243392, 0.147342
50, 13, 5.369502, 5.237651, 0.131851
50, 14, 5.365860, 5.226281, 0.139580
50, 15, 5.373892, 5.234397, 0.139496
50, 16, 5.395013, 5.248770, 0.146243
100, 1, 6.821923, 5.193772, 1.628150
100, 2, 6.262138, 5.222390, 1.039748
100, 3, 6.083067, 5.230197, 0.852870
100, 4, 5.865051, 5.241941, 0.623110
100, 5, 5.684817, 5.222861, 0.461956
100, 6, 5.681384, 5.226637, 0.454748
100, 7, 5.820715, 5.226604, 0.594111
100, 8, 5.809414, 5.229643, 0.579771
100, 9, 5.805519, 5.226600, 0.578919
100, 10, 5.788141, 5.201367, 0.586774
100, 11, 5.826490, 5.233493, 0.592997
100, 12, 5.795040, 5.219531, 0.575510
100, 13, 5.827142, 5.260344, 0.566798
100, 14, 5.815549, 5.229154, 0.586395
100, 15, 5.824097, 5.230330, 0.593767
100, 16, 5.767694, 5.232831, 0.534863
200, 1, 10.027662, 5.298273, 4.729388
200, 2, 7.933747, 5.332889, 2.600858
200, 3, 7.143567, 5.301667, 1.841900
200, 4, 7.038084, 5.356487, 1.681598
200, 5, 6.901576, 5.297603, 1.603974
200, 6, 6.928535, 5.256512, 1.672023
200, 7, 6.901376, 5.319338, 1.582038
200, 8, 6.917911, 5.314235, 1.603676
200, 9, 6.932746, 5.218544, 1.714203
200, 10, 6.944161, 5.267091, 1.677070
200, 11, 6.953109, 5.296092, 1.657018
200, 12, 6.881376, 5.257674, 1.623702
200, 13, 6.924670, 5.220882, 1.703788
200, 14, 6.893522, 5.265401, 1.628121
200, 15, 6.952173, 5.198741, 1.753432
200, 16, 6.927837, 5.311406, 1.616431
