Grid Size, Thread Count, Total Time, Sequential Time, Parallel Time
500, 1, 32.650907, 5.978230, 26.672677
500, 2, 19.669658, 6.186106, 13.483553
500, 3, 15.250773, 5.645176, 9.605596
500, 4, 13.619608, 5.827221, 7.792388
500, 5, 13.987119, 5.975601, 8.011518
500, 6, 13.982335, 5.896257, 8.086078
500, 7, 14.037686, 5.515102, 8.522585
500, 8, 13.458839, 5.387395, 8.071443
500, 9, 13.557836, 5.434962, 8.122875
500, 10, 13.505632, 5.438456, 8.067176
500, 11, 13.825150, 5.182284, 8.642866
500, 12, 13.952873, 5.202455, 8.750417
500, 13, 13.646139, 5.063532, 8.582607
500, 14, 13.690841, 5.213700, 8.477140
500, 15, 13.800103, 4.910264, 8.889840
500, 16, 13.740938, 4.794048, 8.946889
