Grid Size, Thread Count, Total Time, Sequential Time, Parallel Time
500, 1, 32.403900, 5.981656, 26.422243
500, 2, 20.261567, 6.223623, 14.037944
500, 3, 15.580603, 5.834686, 9.745917
500, 4, 13.374896, 5.918253, 7.456643
500, 5, 13.474982, 5.973351, 7.501631
500, 6, 14.054276, 5.557870, 8.496406
500, 7, 13.871022, 5.464965, 8.406057
500, 8, 13.885777, 5.678928, 8.206849
500, 9, 13.650862, 5.365067, 8.285795
500, 10, 13.534532, 5.449125, 8.085406
500, 11, 13.605921, 5.331730, 8.274191
500, 12, 14.230833, 5.108845, 9.121988
500, 13, 14.051751, 4.774450, 9.277301
500, 14, 13.911083, 5.075769, 8.835315
500, 15, 13.625795, 4.988257, 8.637538
500, 16, 13.832498, 5.216223, 8.616275
1000, 1, 113.328577, 8.427022, 104.901555
1000, 2, 65.712164, 10.147872, 55.564292
1000, 3, 45.231217, 6.832679, 38.398538
1000, 4, 36.906186, 8.124961, 28.781224
1000, 5, 36.116307, 8.209629, 27.906679
1000, 6, 36.290571, 7.389827, 28.900744
1000, 7, 36.985449, 8.102281, 28.883168
1000, 8, 36.453036, 6.605899, 29.847136
1000, 9, 36.165130, 6.524064, 29.641066
1000, 10, 36.643442, 5.853122, 30.790320
1000, 11, 36.804553, 6.179955, 30.624598
1000, 12, 36.915628, 5.137604, 31.778024
1000, 13, 36.807136, 5.418516, 31.388620
1000, 14, 37.013290, 5.763692, 31.249598
1000, 15, 36.942630, 4.089866, 32.852764
1000, 16, 37.226997, 4.369771, 32.857226
2000, 1, 431.933002, 17.997609, 413.935392
2000, 2, 235.268613, 25.372763, 209.895850
2000, 3, 160.663575, 16.047691, 144.615884
2000, 4, 126.042110, 16.146255, 109.895854
2000, 5, 127.337577, 16.147161, 111.190416
2000, 6, 126.843088, 14.185695, 112.657393
2000, 7, 127.306851, 13.189285, 114.117566
2000, 8, 127.670673, 13.043744, 114.626928
2000, 9, 128.503593, 11.205451, 117.298142
2000, 10, 129.172945, 8.607096, 120.565849
2000, 11, 130.563554, 7.804540, 122.759014
2000, 12, 130.800243, 7.759204, 123.041039
2000, 13, 131.993218, 6.991443, 125.001775
2000, 14, 132.279257, 5.647541, 126.631716
2000, 15, 132.598476, 3.037946, 129.560531
2000, 16, 133.177560, 3.931095, 129.246465
